书名,作者,译者,出版社,出版时间,价格,评分,评论人数,简介
局外人,[法] 阿尔贝·加缪,柳鸣九,上海译文出版社,2010-8,22.00元,9.0,92802,《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和...
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略,丁文林,南海出版公司,2009-3-1,25.00元,8.6,101632,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间...
默读,Priest,,百花洲文艺出版社,2018-1,45.00,8.4,20721,童年，成长经历，家庭背景，社会关系，创伤……我们不断追溯与求索犯罪者的动机，探寻其中最幽微的喜怒哀乐，不是为了设身处地地同情、乃至于原谅他们，不是为了给罪...
了不起的盖茨比,菲茨杰拉德,姚乃强,人民文学出版社,2004-06,12.00元,8.4,90935,盖茨比为了久久地抱着的一个梦而付出了很高的代价。他死后，尼克发觉是汤姆暗中挑拨威尔逊去杀死盖茨比。他感到东部鬼影幢幢，世态炎凉，便决定回中西部老家去。这是一...
城南旧事,林海音 文、关维兴 图,,中国青年出版社,2003-7,16.00元,9.0,72092,多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“...
天才在左 疯子在右,高铭,,武汉大学出版社,2010-2,29.80元,8.1,200955,本书以访谈录的形式记载了生活在另一个角落的人群（精神病患者、心理障碍者等边缘人）深刻、视角独特的所思所想，让人们可以了解到疯子抑或天才真正的内心世界。此书是...
佛兰德镜子,dome,,后浪丨四川文艺出版社,2019-9,48.00元,8.1,716,◎ 编辑推荐★ 一本极具名著气质的原创小说，独特的语言质感、异国的文化背景，造就了这本超越国界的小说，充分显示“新海外汉语写作”的多种可能性。★ 在这个...
倾城之恋,花城出版社,,花城出版社,1997-3-1,11.00,8.5,135333,一对现实庸俗的男女，在战争的兵荒马乱之中被命运掷骰子般地掷到了一起，于“一刹那”体会到了“一对平凡的夫妻”之间的“一点真心”⋯⋯张爱玲是作为中国现代文学史上...
不能承受的生命之轻,[捷克] 米兰·昆德拉,许钧,上海译文出版社,2003-7,23.00元,8.5,187606,《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小...
失踪的孩子,[意] 埃莱娜·费兰特,陈英,99读书人|人民文学出版社,2018-7,62.00元,9.1,22333,“我的整个生命，只是一场为了提升社会地位的低俗斗争。”全球畅销近千万册被翻译成40多种语言《我的天才女友》《新名字的故事》《离开的，留下的》——那不勒...
茶花女,小仲马,王振孙,外国文学出版社,1997-3,9.00元,8.2,94604,《茶花女》为我们塑造了一些生动、鲜明的艺术形象，而其中最突出、最令人难忘的自然是女主人公茶花女玛格丽特。读者们切莫把玛格丽特和阿尔丰西娜·普莱西小姐混为一谈...
人生海海,麦家,,北京十月文艺出版社,2019-4,55.00元,8.2,13139,“他是全村最出奇古怪的人，古怪的名目要扳着指头一个一个数：第一，他当过国民党军队的上校，是革命群众要斗争的对象。但大家一边斗争他，一边又巴结讨好他，家里出...
杀死一只知更鸟,[美] 哈珀·李,高红梅,译林出版社,2012-9,32.00元,9.2,52478,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的...
悟空传,今何在,,光明日报出版社,2001-4,14.80元,8.3,104021,猪八戒和孙悟空虽然都神通广大，但在命运面前终究是软弱无力的小人物。顶天立地的美猴王实际上仍然是那个充满惊恐的小猴子，而决心与命运抗争的天蓬若非紧急也终究不肯...
基督山伯爵,大仲马,周克希、韩沪麟,上海译文出版社,1991-12-1,43.90元,9.0,84732,小说以法国波旁王朝和七月王朝两大时期为背景，描写了一个报恩复仇的故事。法老号大副唐泰斯受船长的临终嘱托，为拿破仑送了一封信，受到两个对他嫉妒的小人的陷害，被...
海底两万里,[法国] 儒尔·凡尔纳,沈国华、钱培鑫、曹德明,译林出版社,2002-9,19.50元,8.5,61771,本书是法国举世闻名的科幻小说作家儒尔·凡尔纳的代表作之一。作者让读者登上“鹦鹉螺号”，以平均十二公里的时速，在将近十个月的海底旅行中，随着尼摩船长和他的“...
哈利·波特与密室,[英] J. K. 罗琳,马爱新,人民文学出版社,2000-9,22.00元,8.9,115516,《哈利·波特与密室》是“哈利·波特”系列的第二部。哈利·波特在霍格沃茨魔法学校学习一年之后，暑假开始了。他在姨父姨妈家熬过痛苦的假期。正当他准备打点行装去...
长安十二时辰 下,马伯庸,,湖南文艺出版社,2017-1-1,39.80元,7.6,16650,唐天宝三年，元月十四日，长安。大唐皇都的居民不知道，上元节辉煌灯火亮起之时，等待他们的，将是场吞噬一切的劫难。突厥、狼卫、绑架、暗杀、烈焰、焚城，毁灭长安城...
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,郑须弥,人民文学出版社,2000-9,26.50元,9.0,120370,《哈利·波特与阿兹卡班的囚徒》是“哈利·波特”系列的第三部。哈利·波特在霍格沃茨魔法学校已经度过了不平凡的两年，而且早已听说魔法世界中有一座守备森严的阿兹...
情人,[法] 玛格丽特·杜拉斯,王道乾,上海译文出版社,2005-7,20.00元,8.1,124050,杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。...
巴黎圣母院,[法]雨果,陈敬容,人民文学出版社,1982-6,22.50元,8.4,79887,《巴黎圣母院》是法国文豪维克多·雨果第一部引起轰动效应的浪漫派小说。小说以十五世纪路易十一统治下的法国为背景，通过一个纯洁无辜的波希米亚女郎惨遭迫害的故事，...
一个陌生女人的来信,[奥] 斯台芬·茨威格,张玉书,上海译文出版社,2007-7,20.00元,8.7,87999,这是一部短篇小说集，除《一个陌生女人的来信》，亦按时间顺序收录了《火烧火燎的秘密》、《马来狂人》等名篇，作者的创作历程一目了然。《一个陌生女人的来信》讲述...
肖申克的救赎,[美] 斯蒂芬·金,施寄青、赵永芬、齐若兰,人民文学出版社,2006-7,29.90元,9.1,69636,这本书收入斯蒂芬·金的四部中篇小说，是他作品中的杰出代表作。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。目前，这本...
黄金时代,王小波,,花城出版社,1999-3,19.00元,8.8,105829,《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，...
无人生还,[英] 阿加莎・克里斯蒂,祁阿红,人民文学出版社,2008-3,19.00,8.9,78791,十个互不相识的人，被富有的欧文先生邀请到了印地安岛上的私人别墅里。晚餐后，一个神秘的声音揭开了人们心中所各自隐藏着的可怕秘密。当天晚上，年轻的马斯顿先生离奇...
王考,童伟格,,后浪丨四川人民出版社,2019-7,42.00元,8.7,1064,一位难以解读的小说家一部台湾文学史上不可忽视的经典联合报文学小说大奖得主，童伟格作品首次引进◎ 编辑推荐★  童伟格是台湾六年级小说家中最具代表性的...
人生,路遥,,北京十月文艺出版社,2009-5,20.00元,8.4,40119,《人生》是路遥的一部中篇小说，发表于1982年，它以改革时期陕北高原的城乡生活为时空背景，叙述了高中毕业生高加林回到土地又离开土地，再回到土地这样人生的变化...
东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,人民文学出版社,2006-5,18.00元,9.0,77667,午夜过后，一场大雪迫使东方快车停了下来。这辆豪华列车整年都处于满员状态。但那天早上却发现少了一名乘客。一个美国人死在了他的包厢里，他被刺了十二刀，可他包厢的...
哈利·波特与火焰杯,[英] J. K. 罗琳,马爱新,人民文学出版社,2001-5,39.80元,9.0,115204,《哈利·波特与火焰杯》是“哈利·波特”系列的第四部。哈利·波特在霍格沃茨魔法学校经过三年的学习和磨炼，逐渐成长为一个出色的巫师。新学年开始前，哈利和好朋友...
